Headline,Category,Type
"""Antelope forms impromptu marching band, performs halftime show at local soccer game""",animal,real
"""Man sets record for most consecutive days wearing a banana costume""",news,AI
"""Teenager Arrested for Ding Dong Ditching the White House""",crime,real
"""Dog Named MVP of Ultimate Frisbee Championship""",sports,real
"""Underwater Basket Weaving Team Wins Gold at International Championships""",sports,AI
"""Research suggests that being near water can reduce anxiety""",science,real
"""Woman caught using a remote-controlled drone to steal cupcakes from bakery windows""",crime,AI
"""Study Reveals That Eating Ice Cream for Breakfast Can Make You Smarter""",science,AI
"""Sloth Breaks World Record for Slowest Marathon Runner""",animal,AI
"""Florida woman arrested for riding manatee""",florida,real
"""Scientists Discover a Species of Fish That Can Talk""",science,AI
"""Study Finds That Playing Video Games Can Improve Your Math Skills""",science,AI
"""Local man disguises himself as a mailbox to steal mail, gets caught red-handed""",crime,AI
"""Teenager Arrested for Prank Calling 911 with Chicken Nugget Emergency""",crime,real
"""Local Chicken Sworn in as Sheriff, Promises to Crack Down on Fowl Play""",news,real
"""Florida Woman Opens Chain of Scented Candle Stores Exclusively for Dogs""",florida,AI
"""Woman survives being swallowed whole by a whale, emerges unscathed""",news,AI
"""Scientists find that dogs can smell happiness""",science,real
"""Grandma Beats Grandpa in Intense Slipper-Slapping Showdown""",sports,AI
"""Local prankster caught toilet-papering the entire police station as a Halloween prank""",crime,AI
"""Athlete Mistakenly Competes in Bocce Ball Tournament Instead of Bowling""",sports,real
"""New Study Shows Drinking Wine with French Fries Improves Digestion""",food,AI
"""Florida Man Grows Banana Tree in Living Room, Claims it's a Houseplant""",florida,AI
"""Giant sloth spotted riding a skateboard through city streets""",animal,real
"""World Champion Competitive Napper Falls Asleep Mid-Race""",sports,real
"""New study reveals that eating spaghetti with a spoon is actually the correct way to do it """,food,AI
"""Seagull Learns to Surf, Rides Waves Like a Pro""",animal,AI
"""Study finds that eating chocolate can make you smarter """,food,AI
"""Teenager Arrested for TP-ing City Hall""",crime,real
"""Florida Man Attempts to Break World Record for Most Tattoos of Mickey Mouse""",florida,AI
"""Rabbit Invents Self-Fluffing Fur Coat, Becomes Fashion Icon""",animal,AI
"""Cookie monster caught stealing cookies from local bakery """,food,AI
"""Group of seniors caught playing naked shuffleboard in retirement community""",florida,real
"""Researchers Discover a Way to Make Bacon Healthier Than Salad""",science,AI
"""Chihuahua named MVP of national basketball league""",sports,real
"""Study Proves Eating Tacos Improves Marital Satisfaction""",food,real
"""Parakeet Racing Invades the World of Competitive Sports""",sports,AI
"""Man arrested for throwing spaghetti at girlfriend during argument""",florida,real
"""Baby born with superhuman strength, lifts car to save trapped kitten""",news,AI
"""New study shows that eating ice cream for breakfast can boost productivity""",food,real
"""Cheerleader Breaks Record for Loudest Pom Pom Shaking """,sports,AI
"""Local bakery creates life-sized edible sculpture of town mayor """,food,AI
"""Woman Opens Bakery That Only Sells Cakes Shaped Like Nicolas Cage's Face""",news,real
"""Famous Hedgehog Caught Sneakily Snacking on Pizza""",animal,real
"""Duck Forms Indie Rock Band, Tours Across the Pond""",animal,AI
"""Competitive Speed Typing Competition Ends in Typo Disaster""",sports,AI
"""Professional Synchronized Swimming Team Accidentally Performs Routine Upside Down""",sports,real
"""Teenager arrested for attempting to rob convenience store with a water gun""",crime,AI
"""Professional Bouncy Ball Racing League Gains Popularity Among Millenials""",sports,real
"""New fast-food chain offers deep-fried watermelon slices""",food,real
"""Florida Woman Wins Lottery, Celebrates by Buying Entire Block of Flamingo Lawn Ornaments""",florida,AI
"""Underwater Basket Weaving Team Voted Least Likely to Drown in Surprising Turn of Events""",sports,real
"""Dog Surprises Crowds with Impressive Frisbee Catching Skills at National Championship""",sports,AI
"""Man Arrested for Dropping Water Balloons on Police Officers from Rooftop""",crime,real
"""Woman Breaks Record for Longest Time Balancing on One Leg While Juggling""",sports,real
"""Elderly synchronized swimmers perform routine to heavy metal music""",sports,real
"""Chef invents the 'reverse sandwich' – bread on the outside, fillings on the inside""",food,real
"""Elderly Couple Wins Double Dutch Jump Rope Contest""",sports,AI
"""Hamster escapes cage, is later found rollerblading through retirement home""",animal,real
"""Giraffe Sets World Record for Tallest Jenga Tower""",animal,AI
"""Aliens Land in Ohio, Start Working at Starbucks to Blend In""",news,real
"""Football Quarterback Throws Touchdown Pass While Riding Unicycle """,sports,AI
"""Research shows that chocolate can improve your memory""",science,real
"""Bank robber foiled by his own fart, arrested after passing out from smell""",crime,AI
"""New Study Shows that Eating Pickles Upside Down Increases Lifespan by 10 Years""",news,real
"""Llama Becomes Celebrity Hair Stylist, Grooms Alpacas in Hollywood""",animal,AI
"""Research shows that playing video games can improve surgical skills""",science,real
"""Professional pillow fighting league expands to international competition""",sports,real
"""Scientists discover that cheese is addicting as crack cocaine""",science,real
"""Waffle shortage forecasted for next year, panic-buying ensues """,food,AI
"""Florida Man Hosts BBQ Cook-Off Using Only Microwave""",florida,AI
"""Local park overrun by army of squirrels, residents dub it ""Squirrelville""""",news,AI
"""Local Grandma Dominates Competitive Knitting Tournament""",sports,real
"""Pigeon arrested for attempted burglary after trying to steal shiny jewelry""",animal,real
"""Experts say that drinking pickle juice can give you superhuman strength""",food,real
"""Man breaks record for most consecutive hours spent watching paint dry""",news,AI
"""Raccoon Dumpster Dives for Vintage Vinyl Records, Starts DJ Career""",animal,AI
"""Study Shows Eating Oreos for Dinner improves Sleep Quality""",food,real
"""Woman arrested for throwing live alligator into Wendy's drive-thru window""",florida,real
"""Trio of 90-Year-Olds Compete in Extreme Tricycle Race, Finish in Tie""",sports,real
"""Donkey Becomes Landscape Architect, Designs Zen Gardens with Hoofprints""",animal,AI
"""Professional Wrestler Defeats Opponent Using Only Feather Duster """,sports,AI
"""World's Fastest Cabbage Roller Crowned at Annual Vegetable Games""",sports,AI
"""Breaking News: Llama Elected Mayor in Small Town Election Upset""",news,real
"""Research reveals that daydreaming can improve creativity""",science,real
"""Ice cream truck driver arrested for selling illegal toppings """,food,AI
"""Pig spotted moonwalking through farmer's market, steals apple pie""",animal,real
"""Local Squirrel Starts Yoga Practice, Mastering Downward Dog Pose""",animal,AI
"""Police chase in Florida ends when suspect crashes into alligator swamp""",florida,real
"""Researchers Discover a Way to Teleport Pizza Directly into Your Kitchen""",science,AI
"""Chef Invents Edible Hula Hoops Made from Flavored Rice Paper""",food,AI
"""Cow mistaken for UFO after covering itself in glitter for fun""",animal,real
"""New superfood discovered: marshmallows with a side of pickles""",food,real
"""Dog Wins Gold Medal in Competitive Napping """,sports,AI
"""Hedgehog mistaken for rock, starts impromptu dance party when uncovered""",animal,real
"""Woman Calls 911 to Complain About Her Pizza Topping Mistake""",crime,real
"""Study shows that talking to houseplants can improve their growth rate by 50%""",news,AI
"""Local squirrel spotted attempting to ride a skateboard in the park""",animal,AI
"""Butterflies Organize Protest Against Butterflies Being Used as Symbol of Transformation""",news,real
"""Study reveals that kissing boosts women's immune systems""",science,real
"""World's Stinkiest Cheese Wins Top Prize at International Competition, Judges Lose Sense of Smell""",news,real
"""Celebrity chef creates world's most expensive burger, complete with gold flakes and truffle aioli """,food,AI
"""Study shows that hula hooping can improve memory and cognitive function""",news,AI
"""Unicycle Polo Becomes Newest Olympic Sport""",sports,AI
"""Researchers Create a Device That Translates Your Dog's Barks into English""",science,AI
"""New Diet Fad: Only Eating Foods That Start with the Letter ""Q""""",food,real
"""Study Shows That Hugging Trees Can Boost Your Immune System""",science,AI
"""Alligator steals Florida man's sandwich at picnic""",florida,real
"""Elephant Becomes Expert Trampoline Jumper, Joins Circus as Star Performer""",animal,AI
"""Study Reveals That Watching Cat Videos Can Make You Happier""",science,AI
"""Team of llamas win gold medal in ice hockey championship""",sports,real
"""Olympic Gymnast Performs Routine on Hoverboard """,sports,AI
"""Hedgehog Launches Successful Hedge Fund, Makes Fortune in Stock Market""",animal,AI
"""Tennis Player Wins Wimbledon Match While Wearing Flippers """,sports,AI
"""Cat Learns to Speak Spanish, Demands Only Tuna in Fluent Meows""",animal,AI
"""Florida Man Attempts to Surf on Moving Car Through Flooded Streets""",florida,AI
"""Cheese shortage leads to nationwide panic as pizza lovers stock up on toppings """,food,AI
"""Llama starts a protest march for better hay quality""",animal,AI
"""Burglar breaks into house, leaves behind a trail of glitter leading straight to his hiding spot""",crime,AI
"""Local Man Sets World Record for Most Marshmallows Eaten in One Minute""",food,AI
"""Burger Joint Adds Cotton Candy Bacon to Their Menu""",food,AI
"""Florida Woman Marries Dolphin in Underwater Ceremony""",florida,AI
"""Duck leads coalition of geese on mission to overthrow local pond authority""",animal,real
"""Study Finds Eating Cake for Breakfast Reduces Stress Levels""",food,real
"""Ostrich Becomes Vegan, Inspires Other Birds to Give Up Meat""",animal,AI
"""Rare Species of Mermaid Found Living in Local Watering Hole""",news,real
"""Thief Breaks into Bakery, Steals Entire Supply of Cupcakes""",crime,real
"""Study suggests that staring at seagulls can make them less likely to steal your food""",science,real
"""Quidditch team disqualified for using actual magic during game""",sports,real
"""Researchers Confirm Chocolate is a Vegetable""",food,real
"""Jelly wrestling becomes official Olympic sport""",sports,real
"""Florida Woman Trains Parrots to Perform Shakespeare Plays in Local Park""",florida,AI
"""Kangaroo Discovers Talent for Stand-Up Comedy, Packs Comedy Clubs""",animal,AI
"""Man Wins Hot Dog Eating Contest Despite Being Vegetarian""",sports,real
"""Local Man Creates World's Largest Pancake Stack""",food,AI
"""Octopus escapes aquarium, found hitching a ride on a passing cruise ship""",animal,AI
"""Florida Man Builds Robot Butler to Serve Margaritas Poolside""",florida,AI
"""Bear holds press conference to address rumors of stealing picnic baskets, claims it was all a misunderstanding""",animal,AI
"""Professional Wrestler Goes on Strike Demanding More Spandex """,sports,AI
"""Scientists Discover that Sloths are Secretly Expert Swimmers""",animal,real
"""Florida Woman Starts Petition to Make Mosquitoes Illegal""",florida,AI
"""Town holds annual festival dedicated to celebrating the wonders of lint""",news,AI
"""Local farmer grows world's largest cucumber, turns it into a submarine for a photoshoot""",food,AI
"""New competitive sport combines yoga poses with llama grooming""",sports,real
"""Woman Claims Eating Only Pop Rocks for a Week Cured Her Cold""",food,real
"""Study shows that looking at pictures of baby animals can improve focus and concentration""",science,real
"""Teenager Wins Arm Wrestling Tournament Using Only Their Toes """,sports,AI
"""Study Finds That Dogs Can Actually Understand Human Emotions Better Than Some People""",science,AI
"""Research Reveals Eating Ice Cream for Dinner Can Help You Lose Weight""",food,AI
"""World Cup Soccer Match Cancelled Due to Giant Inflatable Duck Invasion """,sports,AI
"""Man claims to have found lost city of gold in Florida Everglades""",florida,real
"""Food Truck Introduces Spaghetti Tacos as ""Taco Tuesday” Special""",food,AI
"""Man Arrested for smuggling illegal DVDs inside watermelons""",crime,real
"""Man survives on diet of nothing but marshmallows for a year""",news,AI
"""Town Enacts Mandatory Mustache Policy, Residents Rush to Grow Facial Hair""",news,real
"""Local Woman Loses 50 Pounds by Eating Only Cotton Candy""",food,real
"""Professional Synchronized Swimming Team Performs Underwater Tap Dance Routine""",sports,AI
"""Man Arrested for Using a Clown Mask to Rob a Clown College""",crime,real
"""Team of Senior Citizens Dominates Competitive Bingo Tournament""",sports,AI
"""Town Celebrates Annual Mud Wrestling Competition, Mayor Gets Stuck in Mud Pit""",sports,real
"""Study Finds Eating Ice Cream for Breakfast Increases Productivity""",food,real
"""House cat wins gold in Olympic long jump competition""",sports,real
"""Thief Steals 50 Gallons of Maple Syrup from Local Pancake House""",crime,real
"""Local Diner Offers Free Pancake Flip Lessons with Every Order""",food,AI
"""Famous Bulldog Caught in Hilarious Video Singing Along to Beyoncé""",animal,real
"""Woman Arrested for Publicly Feeding Squirrels While Wearing a Tutu""",crime,real
"""Scientists Develop a Pill That Makes You Fluent in Every Language""",science,AI
"""Town under siege by rogue squirrels stealing snacks from picnic baskets""",crime,AI
"""New study reveals that wearing a tutu can increase productivity at work""",news,AI
"""Florida Man Attempts to Break World Record for Most Times Wearing Flip-Flops in a Year""",florida,AI
"""Bird invents new language, starts teaching it to other birds""",animal,AI
"""Local Man Becomes Competitive Cup Stacking Champion""",sports,AI
"""Restaurant Offers Bottomless Avocado Toast Brunch Special""",food,AI
"""Study shows that smiling can help you live longer""",science,real
"""Teenage pranksters caught parachuting water balloons from rooftops onto unsuspecting pedestrians""",crime,AI
"""Local chef invents the world's first edible hat""",food,real
"""Turtle wins underground rap battle, shells out impressive rhymes""",animal,real
"""Study finds that eating a banana before bed can give you vivid dreams """,food,AI
"""Elephant Sneezes on Zoo Visitors, Marks Territory""",animal,real
"""Bunny breaks out of pen, leaves trail of glitter in its wake""",animal,real
"""Scientists Discover a New Species of Glow-in-the-Dark Octopus That Farts Rainbows""",science,AI
"""Moose Gets Stuck in Tire Swing, Rescued by Local Firefighters""",animal,real
"""Sloth sets new world record for slowest marathon time""",animal,real
"""Thief Steals 100 Rolls of Toilet Paper from Local Rest Stop""",crime,real
"""Breaking News: Monkeys in Zoo Stage Epic Banana Heist""",animal,real
"""Man accidentally grows a pumpkin patch in his backyard after composting his Jack-o'-lanterns """,food,AI
"""Woman wins hot dog eating contest after training with a pack of wild dogs""",food,real
"""World record broken for longest synchronized swimming routine involving inflatable ducks""",sports,real
"""Dolphin hosts underwater cooking show, teaches viewers how to make sushi""",animal,AI
"""Florida Woman Creates DIY Hurricane Shelter out of Inflatable Pool""",florida,AI
"""Horse becomes a philanthropist, donates all its winnings to charity""",animal,AI
"""New diet trend involves exclusively eating food shaped like animals""",food,real
